movie_title,release_date,genre,mpaa_rating,total_gross,inflation_adjusted_gross
Mighty Joe Young,12/25/98,Adventure,PG,50632037,87906042
A Civil Action,12/25/98,Drama,PG-13,56709981,94139530
My Favorite Martian,2/12/99,Comedy,PG,36850101,61150849
The Other Sister,2/26/99,Romantic Comedy,PG-13,27807627,46145331
Doug's 1st Movie,3/26/99,Adventure,G,19421271,32228598
Ten Things I Hate About You,3/31/99,Romantic Comedy,PG-13,38177966,63354375
Instinct,6/4/99,Drama,R,34105207,56595842
Tarzan,6/16/99,Adventure,G,171091819,283900254
Summer of Sam,7/2/99,Drama,R,19288130,32007656
Inspector Gadget,7/23/99,Comedy,PG,97387965,161610341
The Sixth Sense,8/6/99,Thriller/Suspense,PG-13,293506292,485424724
The 13th Warrior,8/27/99,Action,R,32698899,54262148
Breakfast of Champions,9/17/99,Comedy,R,178287,295851
Mumford,9/24/99,Comedy,R,4559569,7566363
"Mystery, Alaska",10/1/99,Comedy,R,8891623,14755189
The Straight Story,10/15/99,Drama,G,6197866,10111144
The Insider,11/5/99,Drama,R,28965197,47794214
Toy Story 2,11/19/99,Adventure,G,245852179,404450426
Cradle Will Rock,12/8/99,Drama,R,2899970,4609153
Deuce Bigalow: Male Gigolo,12/10/99,Comedy,R,65535067,106921374
Bicentennial Man,12/17/99,Drama,PG,58220776,94838225
Play it to the Bone,12/24/99,Comedy,R,8427204,13180524
Fantasia 2000 (IMAX),1/1/00,Musical,G,60507228,94852354
Gun Shy,2/4/00,Comedy,R,1638202,2562155
The Tigger Movie,2/11/00,Adventure,G,45542421,71228678
Mission to Mars,3/10/00,Adventure,PG,60874615,95208344
High Fidelity,3/31/00,Comedy,R,27277055,42661516
Keeping the Faith,4/14/00,Romantic Comedy,PG-13,37036404,57925202
Dinosaur,5/19/00,Adventure,PG,137748063,215438985
Shanghai Noon,5/26/00,Western,PG-13,56932305,89042541
Gone in 60 Seconds,6/9/00,Action,PG-13,101643008,158970411
Fantasia 2000 (Theatrical Release),6/16/00,Musical,G,9103630,14238144
The Kid,7/7/00,Comedy,PG,69688384,108993148
Coyote Ugly,8/4/00,Drama,PG-13,60786269,95070168
The Crew,8/25/00,Comedy,PG-13,13019253,20362201
Duets,9/15/00,Drama,R,4734235,7404372
Remember the Titans,9/29/00,Drama,PG,115654751,180742479
102 Dalmatians,11/22/00,Comedy,G,66941559,104055039
Unbreakable,11/22/00,Thriller/Suspense,PG-13,94999143,148208901
The Emperor's New Groove,12/15/00,Adventure,G,89296573,136789252
"O Brother, Where Art Thou?",12/22/00,Comedy,PG-13,45506619,67922002
Double Take,1/12/01,Action,PG-13,29823162,44418589
Recess: School's Out,2/16/01,Comedy,G,36696761,54656124
Just Visiting,4/6/01,Comedy,PG-13,4777007,7114869
Pearl Harbor,5/25/01,Action,PG-13,198539855,295705112
Atlantis: The Lost Empire,6/8/01,Adventure,PG,84052762,125188122
crazy/beautiful,6/29/01,Drama,PG-13,16929123,25214223
The Princess Diaries,8/3/01,Comedy,G,108244774,161218928
Bubble Boy,8/24/01,Comedy,PG-13,5002310,7450434
Max Keeble's Big Move,10/5/01,Comedy,PG,17292381,25749730
Corky Romano,10/12/01,Comedy,PG-13,23978402,35705805
"Monsters, Inc.",11/2/01,Adventure,G,289423425,416073179
Out Cold,11/21/01,Comedy,PG-13,13906394,20700691
The Royal Tenenbaums,12/14/01,Black Comedy,R,52353636,76758193
Beauty and the Beast (IMAX),1/1/02,Musical,G,25487028,36980311
Snow Dogs,1/18/02,Comedy,PG,81150692,117745317
The Count of Monte Cristo,1/25/02,Drama,PG-13,54228104,78682079
Peter Pan: Return to Neverland,2/15/02,Adventure,G,48430258,70269715
Reign of Fire,2/19/02,Action,PG-13,43061982,62480631
Sorority Boys,3/22/02,Comedy,R,10198766,14797862
The Rookie,3/29/02,Drama,G,75600072,109691666
Big Trouble,4/5/02,Comedy,PG-13,7262288,10537188
ESPN's Ultimate X - The Movie,5/10/02,Documentary,PG,4197175,6089874
Bad Company,6/7/02,Action,PG-13,30157016,43756218
Lilo & Stitch,6/21/02,Adventure,PG,145771527,211506702
The Country Bears,7/26/02,Adventure,G,16988996,24650121
